der können auch bedeuten , dass man einen kopftuch tragen .;OTHER
ja , der kopftuch können tatsächlich zwang bedeuten , und der sein nicht zulässig , weil ich der kindeswohl gefährden .;OTHER
der kopftuch sein einen symbol einer besonder religion , einer bestimmen religion .;OTHER
da ich sich aber offensichtlich , wie mein manisch besessenheit vom kopftuch und vom islam beweisen , sich identität unsicher sein , selber nicht wissen , was ich sein , nicht wissen , was deutsch sein und deshalb wahrscheinlich immer zweifeln und feindbilder suchen , kommen ich auf solche ablenkungsmanöver , und der enden dann in solch antrag , solch fragestellungen und solch wortbeiträgen .;OTHER
"gerade so entwerten ich mensch muslimisch glauben ; so machen ich muslimische frau zu opfer .";OTHER
"auch ich haben einen rassismusproblem ; der sein gar kein geheimnis .";OTHER
auch hierzulande werden mensch immer noch aufgrund mein aussehen , sich herkunft und manch auch einfach nur wegen mein name schlecht behandeln .;OTHER
ich glauben , ich sein wichtig , noch einmal zu sagen , dass man der mensch , der gegen rassismus , gegen ausgrenzung , gegen diskriminierung demonstrieren , mit solidarität und unterstützung begegnen sollen .;OTHER
aber der schock sitzen immer noch tief bei der polizeibeamten , der von einer organisieren mob mit maximal brutalität angreifen und der kollege ins krankenhaus prügeln werden , und bei der bürger , der scheinbar friedliche stadt über nacht zum schauplatz von bürgerkriegsähnlichen szene werden .;OTHER
der trümmer in der stuttgarter innenstadt sein wegräumen , der scherbe der zertrümmern schaufenster und geplündert geschäft zusammenfegen .;OTHER
nach der stuttgarter krawallnacht können ich nicht einfach weit so tun , als geben ich kein grundsätzlich problem .;OTHER
vor alle : haben ich in der sitzung der innenausschusses dies woche mal gut zuhören , dann wüssten ich auch , dass von der 37 beschuldigte über der hälfte deutschen sein .;OTHER
auch der polizei sprechen von einer heterogen gruppe . wenn ich nicht mal der polizei glauben , dann sein der mein problem .;OTHER
angesichts ein migrationsanteils von 45 prozent in der stuttgarter bevölkerung sein dies zusammensetzung auch normal . für ich sein ich auch egal , dass der kontrolle ein deutsch jugendliche ausgangspunkt für der ereignis am 21. juni sein . hauptsache , ich können wieder über migrantische jugendliche herziehen !;OTHER
viel jugendliche mit einer sogenannt migrationshintergrund werden weiterhin tagtäglich opfer von rassismus und diskriminierung . dazu gehören auch polizeipraktiken wie racial profiling .;OTHER
der afd betreiben mit mein rassistisch diskurs weiterhin einen gefährlich spiel zur spaltung mein gesellschaft . dabei sein ich selbst der groß gefahr und vor alle der groß sicherheitsrisiko in mein gesellschaft .;OTHER
der bundestagsabgeordnete rené springer haben ein neonazi einstellen , der einer rechtsextrem prepper-gruppe anhören , der sich auf ein „ rassenkrieg “ vorbereiten und sich dafür auch bewaffnen haben .;OTHER
ich machen ich sich mal wieder sehr einfach : für ich sein einfach der migranten schuld .;OTHER
